capital_marker,timezone,geo_lat,geo_lon,population,city_name
1.0,UTC+5,55.4155753,55.5582214,41637,Бирск
0.0,UTC+8,55.9609167,97.8205348,8981,Бирюсинск
1.0,UTC+3,50.6484585,38.4005083,7842,Бирюч
2.0,UTC+9,50.290659,127.527198,214397,Благовещенск
1.0,UTC+5,55.0499867,55.9553186,34246,Благовещенск
1.0,UTC+3,45.0989782,43.4306455,32736,Благодарный
1.0,UTC+3,51.0901649,40.0318256,19738,Бобров
0.0,UTC+5,56.7764795,62.0463679,31752,Богданович
1.0,UTC+3,53.7701014,38.1225152,31897,Богородицк
1.0,UTC+3,56.1020828,43.5135442,25497,Богородск
0.0,UTC+7,56.2098468,89.5299336,21029,Боготол
1.0,UTC+3,49.9352454,40.5590801,11811,Богучар
0.0,UTC+8,57.8468636,114.1866287,15331,Бодайбо
1.0,UTC+3,59.4734797,33.845688,16593,Бокситогорск
1.0,UTC+3,54.974891,49.0303882,8650,Болгар
1.0,UTC+3,57.8855767,34.0537771,23499,Бологое
1.0,UTC+7,55.6692421,84.3906889,16969,Болотное
0.0,UTC+3,54.0820349,37.826724,9619,Болохово
1.0,UTC+3,53.4438496,36.0076833,11421,Болхов
0.0,UTC+10,43.1111742,132.3480082,39257,Большой Камень
0.0,UTC+3,56.3565458,44.0646481,78079,Бор
1.0,UTC+9,50.3876058,116.5234779,31376,Борзя
1.0,UTC+3,51.3655754,42.1008334,65585,Борисоглебск
1.0,UTC+3,58.3840197,33.9175929,54731,Боровичи
1.0,UTC+3,55.2130096,36.4926251,12283,Боровск
0.0,UTC+7,55.9054121,94.9020967,17423,Бородино
0.0,UTC+8,56.1513108,101.6340035,246348,Братск
0.0,UTC+3,55.4255379,38.264145,21102,Бронницы
2.0,UTC+3,53.2419535,34.3652146,415640,Брянск
1.0,UTC+3,54.5363495,52.7895849,89144,Бугульма
0.0,UTC+5,53.6523728,52.4326853,52249,Бугуруслан
1.0,UTC+3,44.7816067,44.1650339,64628,Буденновск
0.0,UTC+5,52.7881277,52.2624877,82816,Бузулук
1.0,UTC+3,54.9641538,48.2901209,20342,Буинск
1.0,UTC+3,58.4733277,41.5306822,25763,Буй
0.0,UTC+3,42.8214424,47.1165263,65735,Буйнакск
1.0,UTC+3,50.8311818,40.5976923,27208,Бутурлиновка
1.0,UTC+3,57.9823766,33.2369436,16099,Валдай
1.0,UTC+3,50.2111207,38.0998772,35322,Валуйки
1.0,UTC+3,55.6057916,31.1856206,7620,Велиж
0.0,UTC+3,56.332208,30.5508641,98778,Великие Луки
2.0,UTC+3,58.5213846,31.2755394,218724,Великий Новгород
1.0,UTC+3,60.7603913,46.3054414,31664,Великий Устюг
1.0,UTC+3,61.066,42.1032789,23885,Вельск
1.0,UTC+3,54.3542315,38.2642236,15220,Венев
1.0,UTC+5,58.0797571,54.6581309,22760,Верещагино
0.0,UTC+3,55.343369,36.185694,5368,Верея
1.0,UTC+5,53.8760961,59.2169852,9459,Верхнеуральск
0.0,UTC+5,57.3763758,59.9517653,11843,Верхний Тагил
0.0,UTC+5,56.0487158,60.2318886,30504,Верхний Уфалей
0.0,UTC+5,56.9758903,60.5650383,58707,Верхняя Пышма
0.0,UTC+5,58.0465803,60.5560164,46240,Верхняя Салда
0.0,UTC+5,58.3643685,59.8265235,9468,Верхняя Тура
1.0,UTC+5,58.8622073,60.8103945,8815,Верхотурье
0.0,UTC+10,67.5502451,133.390735,1311,Верхоянск
1.0,UTC+3,58.6582598,37.2567558,7330,Весьегонск
1.0,UTC+3,57.8559204,45.7761957,8956,Ветлуга
1.0,UTC+3,55.551725,37.7061984,56798,Видное
1.0,UTC+9,63.7517616,121.627284,10233,Вилюйск
0.0,UTC+12,52.9302415,158.4057632,22905,Вилючинск
0.0,UTC+8,56.1208145,101.1702926,22528,Вихоревка
1.0,UTC+3,57.2044698,41.9132201,37609,Вичуга
2.0,UTC+10,43.1164904,131.8823937,592069,Владивосток
2.0,UTC+3,43.020588,44.6819182,311635,Владикавказ
2.0,UTC+3,56.1280804,40.4084376,348256,Владимир
2.0,UTC+3,48.7070042,44.5170339,1021244,Волгоград
0.0,UTC+3,47.5165338,42.1984951,170621,Волгодонск
0.0,UTC+3,57.4424559,41.1594201,17108,Волгореченск
0.0,UTC+3,55.8623156,48.3715083,55671,Волжск
0.0,UTC+3,48.7978209,44.7462538,314436,Волжский
2.0,UTC+3,59.2483905,39.8355662,301642,Вологда
1.0,UTC+3,56.2169751,43.1596417,9924,Володарск
1.0,UTC+3,56.0356499,35.9585112,23386,Волоколамск
1.0,UTC+3,59.4445408,29.4923355,12162,Волосово
1.0,UTC+3,59.9005958,32.3520756,47344,Волхов
0.0,UTC+5,59.9351707,60.0798618,10008,Волчанск
0.0,UTC+4,52.0459865,47.3873595,66520,Вольск
0.0,UTC+3,67.4974082,64.061034,70551,Воркута
2.0,UTC+3,51.6593332,39.1969229,889680,Воронеж
0.0,UTC+3,55.989943,43.2718859,11622,Ворсма
0.0,UTC+3,55.3071519,38.7027953,91301,Воскресенск
0.0,UTC+4,57.0518149,53.9873096,100034,Воткинск
1.0,UTC+3,60.0191278,30.6456718,59689,Всеволожск
0.0,UTC+3,63.8615274,57.3165402,12357,Вуктыл
1.0,UTC+3,60.7130801,28.7328336,80013,Выборг
1.0,UTC+3,55.3207727,42.1678834,56196,Выкса
0.0,UTC+3,56.3359513,36.5251837,10642,Высоковск
0.0,UTC+3,60.6296236,28.5709314,1244,Высоцк
1.0,UTC+3,61.0063465,36.4495137,10490,Вытегра
0.0,UTC+3,57.568302,34.5404016,52326,Вышний Волочек
1.0,UTC+10,47.5353379,134.7553856,14556,Вяземский
1.0,UTC+3,56.29773,42.2687398,41252,Вязники
1.0,UTC+3,55.2116983,34.2951663,57103,Вязьма
1.0,UTC+3,56.2284817,51.0614855,35159,Вятские Поляны
1.0,UTC+3,56.5586946,40.1228906,6434,Гаврилов Посад
1.0,UTC+3,57.3091058,39.8546444,17792,Гаврилов-Ям
1.0,UTC+3,55.5525228,34.9950502,31721,Гагарин
